Art.-Nr.,Name des Produkts,Gebinde,Kategorie,Top-Angebot,Unterkategorie,Preis Einzeln(CHF),Preis Pack (CHF),Notiz für Gebinde für claude zum bearbeiten
38092,Bier Farmer Naturtrueb 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,0.75,,
38093,Bier Farmer Naturtrueb Dose 18x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,13.50,
111264,Bier Feld. Braufrisch Dose 12x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,19.95,
12805,Bier Feld. Buegel MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,2.10,,
104236,Bier Feld. Pils Dose 6x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,11.50,
77382,Bier Ginger Appenzeller 6x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,15.25,
91683,Bier Moretti Dose 12x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,19.95,
109340,Bier Moretti Dose 24x33cl,Pack,Bier,TRUE,Lagerbier / Spezialbier,,20.95,
68896,Bier Moretti Dose 24x50cl,Pack,Bier,TRUE,Lagerbier / Spezialbier,,29.50,
107843,Bier Moretti EW 15x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,18.95,
109341,Bier Moretti Limone 3x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,4.95,
113708,Bier Moretti Sale d. M. 24x33cl,Pack,Bier,TRUE,Lagerbier / Spezialbier,,26.95,
107846,Bier Moretti Sale d. M. 6x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,8.95,
102400,Bier Moretti XL 15x66cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,25.95,
88309,Bier Pale Ale Farmer Dose 18x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,14.40,
88308,Bier Pale Ale Farmer Dose 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,0.80,,
109408,Bier Peroni Dose 24x33cl,Pack,Bier,TRUE,Lagerbier / Spezialbier,,19.95,
75884,Bier Quoellfrisch 15x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,15.95,
105553,Bier Quoellfrisch 24x33cl,Pack,Bier,TRUE,Lagerbier / Spezialbier,,19.95,
89515,Bier Quoellfrisch Dose 15x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,23.95,
88317,Bier Quoellfrisch Dose 24x50cl,Pack,Bier,TRUE,Lagerbier / Spezialbier,,29.95,
45951,Bier Quoellfrisch Dose 6x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,10.85,
87444,Bier Quoellfrisch MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.95,,Harasse möglich eine harasse fasst 15 flaschen
87442,Bier Rugenbraeu Zwickel MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,2.00,,
35247,Bier Sagres 24x25cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,15.95,
34810,Bier Schuetzengarten Edelspez 6x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,8.30,
87428,Bier Schuetzengarten Edelspez MW 33cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.55,,
87425,Bier Schuetzengarten Kl.braeu MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.80,,
57529,Bier Superbock 24x25cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,17.95,
97497,Bier Valaisanne Juicy IPA 4x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,10.95,
34436,Bier Valaisanne Lager 12x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,14.95,
15524,Bier Valaisanne Lager 18x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,17.50,
77381,Bier Valaisanne Lager 6x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,11.90,
15107,Bier Zitronen Panache 15x33cl,Pack,Bier,FALSE,Radler / Panaché,,14.95,
19569,Blauburgunder CH 75 cl,Einzeln,Wein,FALSE,Rotwein,5.95,,
88390,Blauburgunder Hallau 75cl,Einzeln,Wein,FALSE,Rotwein,7.95,,
35797,Blauburgunder SH 75cl,Einzeln,Wein,FALSE,Rotwein,7.80,,
36442,Bonavita Red 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,6.30,,
65857,Borgo del Mandorlo Negro. 75 cl,Einzeln,Wein,FALSE,Rotwein,8.15,,
109412,BrewDog Wingman 4x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.50,
88713,Cabernet Sauvignon 5 l,Einzeln,Wein,FALSE,Bag-in-Box / Grossgebinde,18.95,,
72340,Calanda Radler Zitrone 24x50cl,Pack,Bier,FALSE,Radler / Panaché,,27.95,
81844,Calivo Emilia IGT 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,8.70,,
80436,Cannonau Sardegna Baiolu 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,10.50,,
68907,Cantello Vino Tinto 75 cl,Einzeln,Wein,FALSE,Rotwein,8.50,,
38358,Capri Sun Multivitamin 15 × 33 cl,Einzeln & Pack,Süssgetränke,FALSE,Saft / Nektar,1.2,18.00,
34965,Capri Sun Orange-Peach 15×33cl,Einzeln & Pack,Süssgetränke,FALSE,Saft / Nektar,1.2,17.95,
40899,Cardinal Lager EW 15x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,17.50,
30045,Chardonnay Genève 75 cl,Einzeln,Wein,FALSE,Weisswein,7.95,,
13685,Chasselas Lemanic 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,4.50,,
73769,Chianti Terra Grande 75 cl,Einzeln,Wein,FALSE,Rotwein,7.95,,
95913,Citro Farmer zéro 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,0.6,3.55,
95926,Citro Farmer zéro 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,0.55,3.18,
90430,Clairette de Die Tradition 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,9.85,,
13152,Coca-Cola 8 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Cola,2.1,16.45,
35378,Coca-Cola 8 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Cola,1.45,11.45,
35398,Coca-Cola Dose 24 × 33 cl,Einzeln & Pack,Süssgetränke,TRUE,Cola,0.65,14.95,
13153,Coca-Cola Zero 8 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Cola,2.1,16.45,
35376,Coca-Cola Zero 8 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Cola,1.45,11.45,
35400,Coca-Cola Zero Dose 24 × 33 cl,Einzeln & Pack,Süssgetränke,TRUE,Cola,0.65,14.95,
78009,Cola Farmer zéro 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Cola,0.6,3.55,
19534,Cornalin du Valais 75 cl,Einzeln,Wein,FALSE,Rotwein,11.70,,
15492,Corona Extra Bier 6x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,7.95,
52911,Costalago Zeni Rosso 75 cl,Einzeln,Wein,FALSE,Rotwein,9.50,,
41741,Cranberry Farmer 4 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,Saft / Nektar,1.75,6.95,
88010,Cuvée Blanc Suisse 50 cl,Einzeln,Wein,FALSE,Weisswein,4.50,,
69946,Cuvée d'Or Goldbeere 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,10.50,,
88267,Cuvée Rosé Suisse 50 cl,Einzeln,Wein,FALSE,Rosé,3.95,,
52889,Cuvée royale Goldbeere 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,12.20,,
17730,Dimensione Bianco 75 cl,Einzeln,Wein,FALSE,Weisswein,6.85,,
17729,Dimensione Rosso 75 cl,Einzeln,Wein,FALSE,Rotwein,6.85,,
96103,Direkt Orangensaft Farmer 6×100cl,Einzeln & Pack,Süssgetränke,FALSE,Saft / Nektar,2.45,14.70,
88314,Dôle blanche VS 75 cl,Einzeln,Wein,FALSE,Weisswein,6.50,,
88461,Dôle du Valais 50 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,4.95,,
88456,Dôle du Valais 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,6.80,,
75700,Domaine Moulin Saint-Jean 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,9.95,,
91724,El Gringo Tempranillo 75 cl,Einzeln,Wein,FALSE,Rotwein,7.95,,
16800,El Pescaito 75 cl,Pack,Wein,TRUE,Sonstige / Roséwein,,4.95,
16149,Energy Drink Red Bull Dose 24 × 25 cl,Einzeln & Pack,Mate/Energy,TRUE,Energy Drink,1.25,29.95,
87800,Energy Drink Red Bull Dose 6 × 25 cl,Einzeln & Pack,Mate/Energy,FALSE,Energy Drink,1.5,8.90,
38994,Energy Drink Red Bull Sugarfree 6 × 25 cl,Einzeln & Pack,Mate/Energy,FALSE,Energy Drink,1.5,8.90,
88080,Epesses blanc 75 cl,Einzeln,Wein,FALSE,Weisswein,9.95,,
80434,Esprit Côtes du Rhône 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,7.96,,
61762,Eve Grape Cosmop. 4x27.5cl,Pack,Bier,FALSE,Fertig-Cocktail (Malzbasis),,9.45,
87351,Eve Litchi 4x27.5cl,Pack,Bier,FALSE,Fertig-Cocktail (Malzbasis),,9.45,
32882,Eve Pink Mimosa 4x27.5cl,Pack,Bier,FALSE,Fertig-Cocktail (Malzbasis),,9.45,
50898,Eve Strawberry Mojito 10x27.5cl,Pack,Bier,TRUE,Fertig-Cocktail (Malzbasis),,17.25,
111698,Farmer Bier Lager Dose 24x33cl,Pack,Bier,TRUE,Lagerbier / Spezialbier,,11.95,
98124,Farmer Energy Drink Dose 24 × 25 cl,Pack,Mate/Energy,FALSE,Energy Drink,,11.80,
98125,Farmer Energy Drink Dose 25 cl,Einzeln,Mate/Energy,FALSE,Energy Drink,0.50,,
52841,Federweiss Goldbeere 75 cl,Einzeln,Wein,FALSE,Weisswein,11.50,,
88160,Fendant VS 50 cl,Einzeln,Wein,FALSE,Weisswein,4.95,,
88157,Fendant VS 75 cl,Einzeln,Wein,FALSE,Weisswein,6.50,,
82384,Feuerheerd's Douro 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,9.20,,
88145,Fleurance Chasselas 50 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,3.95,,
88441,Fleurance Gamay 50 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,4.40,,
66471,Fleurance Pinot Noir 50 cl,Einzeln,Wein,FALSE,Rotwein,4.96,,
88008,Fleurance Riesling Silv. 50 cl,Einzeln,Wein,FALSE,Weisswein,4.50,,
88632,Focus Water Active 12 × 50 cl,Pack,Süssgetränke,TRUE,Limonade / Sonstige,,14.95,
87544,Fruchtcocktail Granini 6 × 100 cl,Einzeln & Pack,Süssgetränke,TRUE,Saft / Nektar,2.25,13.30,
83859,Gamaret VS 75 cl,Einzeln,Wein,FALSE,Rotwein,9.55,,
19815,Gewürztraminer 75 cl,Einzeln,Wein,FALSE,Weisswein,8.95,,
88885,Glühwein 1 l,Einzeln,Wein,FALSE,Glühwein,2.50,,
68894,Gran Pasas Monastrell 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,8.95,,
99712,Grapefruit Farmer zéro 6×150cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,0.6,3.55,
88170,Grüner Veltliner 75 cl,Einzeln,Wein,FALSE,Weisswein,4.20,,
61091,Hauswein rot Nr. 2 1 l,Einzeln,Wein,FALSE,Bag-in-Box / Grossgebinde,3.70,,
14417,Hauswein weiss Nr. 1 1 l,Einzeln,Wein,FALSE,Bag-in-Box / Grossgebinde,3.70,,
61650,Heida 75 cl,Pack,Wein,TRUE,Sonstige / Roséwein,11.95,,
02166,Henniez blau 6 × 50 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.8,4.70,
87512,Henniez grün 6 × 50 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.8,4.70,
87507,Henniez rot 6 × 50 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.8,4.70,
87810,Holunder-Melisse Farmer 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,1.15,6.90,
09022,Holunder-Melisse Farmer 6×50cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,0.95,5.55,
88397,Holunderblütenwein 50 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,5.40,,
19542,Humagne Rouge VS 75 cl,Einzeln,Wein,FALSE,Rotwein,11.50,,
87708,Ice Tea Farmer Lemon 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Eistee,0.7,3.95,
09014,Ice Tea Farmer Lemon 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Eistee,0.5,2.95,
82220,Ice Tea Farmer Mint 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Eistee,0.85,4.95,
95909,Ice Tea Farmer Mint 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Eistee,0.6,3.50,
87709,Ice Tea Farmer Peach 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Eistee,0.7,3.95,
09017,Ice Tea Farmer Peach 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Eistee,0.5,2.95,
88723,J.P. Chenet Cabernet-Syrah 75 cl,Einzeln,Wein,FALSE,Rotwein,4.95,,
47616,Jaume Serra 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,7.50,,
04962,Johannisberg VS 50 cl,Einzeln,Wein,FALSE,Weisswein,7.95,,
19525,Johannisberg VS 75 cl,Einzeln,Wein,FALSE,Weisswein,10.50,,
63571,La Maison du Sud 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,4.60,,
34848,La Vache des Alpes blanc 75 cl,Einzeln,Wein,FALSE,Weisswein,7.95,,
34845,La Vache des Alpes rosé 75 cl,Einzeln,Wein,FALSE,Rosé,7.95,,
34841,La Vache des Alpes rouge 75 cl,Einzeln,Wein,FALSE,Rotwein,7.95,,
21518,LAB Moscato 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,5.95,,
26917,Lagerbier Eichhof Do. 24x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,30.95,ganz harasse gebindegrösse noch offen
87260,Lagerbier Eichhof Dose 6x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.95,
66227,Lagerbier Eichhof hell 20x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,17.95,
87391,Lagerbier Eichhof MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.55,,
51734,Lagerbier Farmer 18x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.95,
26980,Lagerbier Farmer Dose 18x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,10.80,
87448,Lagerbier Farmer Dose 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,0.60,,
87450,Lagerbier Farmer MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,0.60,,harasse beinhaltet 24x flasche
87305,Lagerbier Feld. Original 10x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,12.50,
111263,Lagerbier Feld. Original 12x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,14.95,
87313,Lagerbier Feld. Original 24x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,20.95,
46003,Lagerbier Feld. Original 24x50cl,Pack,Bier,TRUE,Lagerbier / Spezialbier,,27.60,
104238,Lagerbier Feld. Original 8x56.5cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,14.60,
30234,Lagerbier Feld. Original Dose 15x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,24.95,
87307,Lagerbier Feld. Original MW 33cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.55,,harasse noch offen
87303,Lagerbier Feld. Original MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.70,,harasse noch offen
87302,Lagerbier Feld. Original MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.70,,harasse noch offen
96005,Lagerbier Rugenbraeu 15x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,16.50,
85477,Lagerbier Rugenbraeu 6x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.95,
87440,Lagerbier Rugenbraeu MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.60,,
87439,Lagerbier Rugenbraeu MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.60,,
87424,Lagerbier Schuetzeng. MW 33cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.30,,
87414,Lagerbier Schuetzengarten 18x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,17.95,
113711,Lagerbier Schuetzengarten 6x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,6.95,
74771,Lagerbier Schuetzengarten 6x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.25,
87421,Lagerbier Schuetzengarten MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.60,,
87420,Lagerbier Schuetzengarten MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.60,,
36054,Landbier Eichbaum 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,0.55,,
36055,Landbier Eichbaum Dose 18x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.90,
68904,Lemon Soda 24 × 33 cl,Pack,Süssgetränke,TRUE,Limonade / Sonstige,,15.95,
88033,Luins blanc 50 cl,Einzeln,Wein,FALSE,Weisswein,5.50,,
88031,Luins blanc 75 cl,Einzeln,Wein,FALSE,Weisswein,6.95,,
08029,Malbec Fabre Montmayou 75 cl,Einzeln,Wein,FALSE,Rotwein,10.95,,
19527,Malvoisie VS 75 cl,Einzeln,Wein,FALSE,Weisswein,10.50,,
02782,Mauler Cordon Or Dry 75cl,Einzeln,Wein,FALSE,Schaumwein,12.50,,
88839,Merlot del Veneto 1 l,Einzeln,Wein,FALSE,Rotwein,4.80,,
24279,Merlot del Veneto 50 cl,Einzeln,Wein,FALSE,Rotwein,2.90,,
72238,Merlot Rosso 75 cl,Einzeln,Wein,FALSE,Rotwein,12.50,,
87524,Mineralwasser Farmer blau 6×150cl,Einzeln & Pack,Mineralwasser,FALSE,,0.65,3.65,
09018,Mineralwasser Farmer blau 6×50cl,Einzeln & Pack,Mineralwasser,FALSE,,0.55,3.20,
87534,Mineralwasser Farmer grün 6×150cl,Einzeln & Pack,Mineralwasser,FALSE,,0.65,3.65,
09015,Mineralwasser Farmer grün 6×50cl,Einzeln & Pack,Mineralwasser,FALSE,,0.55,3.20,
87523,Mineralwasser Farmer rot 6×150cl,Einzeln & Pack,Mineralwasser,FALSE,,0.65,3.65,
12356,Mineralwasser Farmer rot 6×50cl,Einzeln & Pack,Mineralwasser,FALSE,,0.55,3.20,
88044,Mont sur Rolle 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,6.70,,
52804,Moscato Mosketto 75 cl,Pack,Wein,TRUE,Sonstige / Roséwein,5.95,,
51528,Multivitamin Farmer 6 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,Saft / Nektar,1.6,9.55,
88175,Muscat #sweet 50 cl,Einzeln,Wein,FALSE,Weisswein,5.10,,
10974,Nero d'Avola Sicilia 75cl,Einzeln,Wein,FALSE,Rotwein,4.40,,
52851,Oeil de Perdrix Goldb. AOC 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,7.95,,
88306,Oeil-de-Perdrix 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,10.60,,
42617,Orangensaft Farmer 6 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,Saft / Nektar,1.3,7.80,
87543,Orangensaft Granini 6 × 100 cl,Einzeln & Pack,Süssgetränke,TRUE,Saft / Nektar,2.25,13.30,
15526,Panaché Bilz Himbeere 10 × 33 cl,Pack,Bier,TRUE,Radler / Panaché,,10.85,
36950,Panache Bilz,Pack,Bier,FALSE,Radler / Panaché,,17.95,
29462,Panache Farmer Lemon Dose 18x50cl,Pack,Bier,FALSE,Radler / Panaché,,10.80,
13151,Panache Farmer Lemon Dose 50cl,Einzeln,Bier,FALSE,Radler / Panaché,0.60,,
14413,Pena Roja Jumilla 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,4.95,,
19517,Petite Arvine VS 75 cl,Einzeln,Wein,FALSE,Weisswein,11.95,,
14415,Pinot blanc Suisse 75 cl,Einzeln,Wein,FALSE,Weisswein,6.50,,
06683,Pinot Grigio Cesario 75cl,Einzeln,Wein,FALSE,Weisswein,4.40,,
88396,Pinot Noir Duvallon 75 cl,Einzeln,Wein,FALSE,Rotwein,5.95,,
52887,Pinot Noir Goldbeere 75 cl,Einzeln,Wein,FALSE,Rotwein,11.50,,
06984,Pinot Noir GR AOC 75 cl,Einzeln,Wein,FALSE,Rotwein,12.50,,
52895,Pinot Noir Hallau 75 cl,Einzeln,Wein,FALSE,Rotwein,14.95,,
06993,Pinot Noir Jenins GR AOC 75 cl,Einzeln,Wein,FALSE,Rotwein,14.60,,
30791,Pinot Noir Salgesch 75 cl,Einzeln,Wein,FALSE,Rotwein,8.95,,
59511,Porta 6 Lisboa 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,6.95,,
52925,Primitivo Manduria 1488 75 cl,Einzeln,Wein,FALSE,Rotwein,13.50,,
19819,Primitivo Manduria 75 cl,Pack,Wein,FALSE,Rotwein,6.95,,
22227,Primitivo Puglia Cesario 75 cl,Einzeln,Wein,FALSE,Rotwein,4.60,,
88965,Prosecco Spumante 75 cl,Einzeln,Wein,FALSE,Schaumwein,7.95,,
35282,Quintus Quelle blau 6 × 150 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.35,1.95,
45516,Quintus Quelle rot 6 ×150 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.35,1.95,
66226,Quoellfrisch naturtrueb 15x33cl,Einzeln & Pack,Bier,FALSE,Lagerbier / Spezialbier,0.35,15.95,
52935,Ribera del Duero 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,9.95,,
88002,Riesling S. Duvallon 75cl,Einzeln,Wein,FALSE,Weisswein,5.95,,
52839,Riesling-Silvaner Goldbeere 75 cl,Einzeln,Wein,FALSE,Weisswein,9.95,,
12507,Rimuss bianco dry 75 cl,Einzeln,Wein,FALSE,Schaumwein,7.75,,
88988,Rimuss Litchi Perl 75cl,Einzeln,Wein,FALSE,Schaumwein,5.60,,
88980,Rimuss Party o.A. 70 cl,Einzeln,Wein,FALSE,Schaumwein,4.65,,
32556,Rioja El Coto Crianza 50 cl,Einzeln,Wein,FALSE,Rotwein,7.35,,
27642,Rioja El Coto Crianza 75cl,Einzeln,Wein,FALSE,Rotwein,8.95,,
36832,Ripasso Salvaterra 50 cl,Einzeln,Wein,FALSE,Rotwein,6.95,,
88792,Ripasso Salvaterra 75 cl,Einzeln,Wein,FALSE,Rotwein,7.95,,
52913,Ripasso Valpolicella Zeni 75 cl,Einzeln,Wein,FALSE,Rotwein,13.50,,
41624,Rivella blau 24 × 50 cl,Pack,Süssgetränke,TRUE,Limonade / Sonstige,,27.50,
40938,Rivella rot 24 × 50 cl,Pack,Süssgetränke,TRUE,Limonade / Sonstige,,27.50,
46020,Rivella rot 8 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,1.5,11.95,
81839,Roma Federici 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,8.95,,
63981,Rosato di Puglia 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,5.50,,
88264,Rosé Duvallon 75 cl,Einzeln,Wein,FALSE,Rosé,5.95,,
